vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
AMIDATA S.A,262-2006,,,U,"Silver plated red lantern socket,2mm",4.39,2019-06-19,2,8.78
AMIDATA S.A,262-2012,,,U,"Silver plated black lantern socket,2mm Codigo RS",4.39,2019-06-19,2,8.78
"BIOGEN CIENTIFICA, S.L.",478-5434,,,U,[EN]DEWAR VESSEL SS.2L 1 * 1 UN,554.0,2019-06-11,1,554.0
"FERRETERIA MARANGES, S.A.",CEY0R08,,,U,ADHESIVO ARALDIT RAPIDO PEQ. 5+5ML,5.38,2019-06-11,3,16.14
"FARNELL COMPONENTS, SL",2400915,,,U,"HCB 123 - Bascula, Balanza Electronica, Digital, Carga Maxima de 120g, Resolucion de 0.001g",302.0,2019-06-11,1,302.0
AMIDATA S.A,522-5068,,,U,"Potenciometro - Giratorio, con 6 mm de diametro , Montaje en Panel, 5kΩ, ±10%, 1W, Serie 53, ±150ppm/°C 1",7.5,2019-06-10,3,22.5
AMIDATA S.A,364-1193,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Verde, relacion de contraccion: 2:1, diametro 2,4mm",1.8599999999999999,2019-06-07,1,1.8599999999999999
AMIDATA S.A,364-1200,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Verde, relacion de contraccion: 2:1, diametro 3,2mm",2.37,2019-06-07,1,2.37
AMIDATA S.A,353-4512,,,U,"Cuchillo Stanley, Cartucho, Retractil, hoja Extraccion, 18mm",13.29,2019-06-07,1,13.29
AMIDATA S.A,234-4958,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Azul, relacion de contraccion: 3:1, diametro 6mm",3.9,2019-05-31,4,15.6
AMIDATA S.A,113-2401,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Amarillo, relacion de contraccion: 2:1, diametro 9.5mm",3.1,2019-05-31,1,3.1
AMIDATA S.A,113-2423,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Amarillo, relacion de contraccion: 2:1, diametro 12,7mm",4.15,2019-05-31,1,4.15
AMIDATA S.A,113-2388,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Amarillo, relacion de contraccion: 2:1, diametro 4,8mm",2.45,2019-05-31,1,2.45
AMIDATA S.A,364-1216,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Verde, relacion de contraccion: 2:1, diametro 4,8mm",2.4,2019-05-31,1,2.4
AMIDATA S.A,364-1238,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Verde, relacion de contraccion: 2:1, diametro 9.5mm",3.07,2019-05-31,1,3.07
AMIDATA S.A,364-1250,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Verde, relacion de contraccion: 2:1, diametro 12,7mm",4.14,2019-05-31,1,4.14
AMIDATA S.A,170-4652,,,U,"Tubos termorretractiles TE Connectivity, Poliolefina, Amarillo, relacion de contraccion: 2:1, diametro 12,7mm",6.42,2019-05-31,1,6.42
AMIDATA S.A,822-3226,,,U,"Cable USB USB 2.0, 1,5m, Negro, USB A macho a Mini USB macho tipo B",2.5,2019-05-16,1,2.5
AMIDATA S.A,895-0524,,,U,"Adaptador de red RS PRO, Conector A Tipo USB 2.0 Micro B hembra, Conector B Tipo USB 3.1 C macho",11.87,2019-05-16,1,11.87
ABACUS,647.94,,,BORSA,PALILLOS VERDES BOLSA,0.85,2019-05-13,2,1.7000000000000002
ABACUS,100014434.73,,,BORSA,AB PALOS DE POLO MINI NATURALES 150U,2.15,2019-05-13,1,2.15
AMIDATA S.A,262-2012,,,U,"Silver plated black lantern socket,2mm",4.39,2019-05-07,4,17.56
AMIDATA S.A,262-2006,,,U,"Silver plated red lantern socket,2mm",4.39,2019-05-07,4,17.56
AMIDATA S.A,522-5068,,,U,"Potenciometro - Giratorio, con 6 mm de diametro , Montaje en Panel, 5kΩ, ±10%, 1W, Serie 53, ±150ppm/°C 1",7.5,2019-05-07,2,15.0
AMIDATA S.A,287-7543,,,U,"Conector macho de enlace a tierra,tipo 6",35.78,2019-05-07,1,35.78
"BIELEC, S.L.",DOS546,,,U,SINU ADAPTADOR JERINGAS 30 cc. y 50 cc,60.2,2019-04-26,1,60.2
"BIELEC, S.L.",DOS151,,,U,SINU OR03N ARO TORICO NBR PARA AA03,1.75,2019-04-26,2,3.5
"BIELEC, S.L.",DOS152,,,U,SINU OR05 ARO TORICO NBR PARA AA05N,1.71,2019-04-26,2,3.42
"BIELEC, S.L.",DOS153,,,U,SINU OR10N ARO TORICO NBR PARA AA10N,2.1,2019-04-26,2,4.2
"BIELEC, S.L.",DOS154,,,U,SINU OR30N ARO TORICO NBR PARA AA30N,2.16,2019-04-26,2,4.32
"BIELEC, S.L.",POR0000,,,U,TRANSPORTE MERCANCIA,9.0,2019-04-26,1,9.0
AMIDATA S.A,217-255,,,CAIXA,"Caja de 10 Broca RS PRO, Longitud 86 mm, HSS, tipo Normal, diametro 5mm, espiga Lisa de 5mm",15.47,2019-04-25,1,15.47
ABACUS,0937797.86,,,U,BOSSA,6.85,2019-04-10,1,6.85
ABACUS,126159.95,,,U,CARPETA D'ANELLES ABACUS FORRADA BLAU 4 ANELLES,3.25,2019-04-10,1,3.25
ABACUS,126165.53,,,U,CARPETA D'ANELLES ABACUS FORRADA VERMELL 4 ANELLES,3.25,2019-04-10,1,3.25
